"year","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory"
"2018",67.58,58.5,33.46,12.13,29.06,1.79,3.19,2.65
"2019",68.35,58.39,23.03,10.97,15.51,1.73,1.14,3.21
"2020",11.51,8.94,2.0,4.41,5.72,0.30,0.81,2.50
