"year","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory"
"2012",45.97,39.08,25.93,7.39,16.89,1.29,1.23,1.02
"2013",50.81,40.17,29.8,10.52,22.57,1.23,1.12,9.7
"2014",62.03,52.35,38.39,13.42,28.07,1.39,3.4,1.5
